Stock Symbol,52_week_high,Stop Loss Today
AMZN,False,False
XOM,False,False
AAPL,True,False
CVS,False,False
UNH,False,False
GOOGL,False,False
MCK,False,False
COST,False,False
CI,False,False
T,False,False
CAH,False,False
MSFT,False,False
CVX,False,False
HD,False,False
WBA,False,False
MPC,False,False
KR,False,False
F,False,False
JPM,False,False
GM,True,False
VZ,False,False
CNC,False,False
PSX,False,False
VLO,False,False
BAC,True,False
DELL,False,False
JNJ,False,False
PG,True,False
HUM,False,False
WFC,False,False
LMT,False,False
UPS,False,False
INTC,False,False
C,False,False
PEP,False,False
BA,False,False
MET,True,False
ADM,False,False
DOW,False,False
RTX,False,False
BBY,False,False
PFE,False,False
GE,False,False
TGT,False,False
HON,True,False
GS,True,False
MS,True,False
DE,False,False
HCA,False,False
ORCL,True,False
TMO,False,False
MRK,False,False
KO,True,False
DIS,False,False
PGR,True,False
CMCSA,False,False
PAGP,False,False
ALL,False,False
TSN,False,False
MMM,True,False
DAL,False,False
CTSH,False,False
HPE,False,False
NUE,False,False
BMY,False,False
SNX,False,False
EPD,True,False
UAL,False,False
ET,True,False
GD,False,False
AVT,False,False
GLP,False,False
MO,True,False
EXC,False,False
TRV,False,False
OKE,True,False
WDC,False,False
BAX,False,False
ARW,False,False
TMUS,True,False
NVDA,False,False
CHWY,False,False
CRWD,False,False
PANW,False,False
